Scotland Days of Air Frost
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 03/04/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2002    8.5    9.5    7.6    4.8    1.0    0.0    0.0    0.0    0.2    4.9    3.2    9.1    34.7   13.3    0.0    8.3    48.6
2003   14.7   14.9    8.6    3.4    0.5    0.0    0.0    0.0    0.3    5.5    3.6   12.5    38.6   12.5    0.0    9.5    63.9
2004   12.0   15.1    8.4    1.6    0.9    0.1    0.0    0.1    0.2    0.9    5.4    9.9    39.6   10.9    0.2    6.5    54.6
2005    7.5   11.9    8.3    4.1    2.8    0.2    0.0    0.0    0.1    0.4    9.2    9.8    29.3   15.2    0.2    9.8    54.4
2006   10.5   13.0   15.7    6.3    1.7    0.1    0.0    0.0    0.1    0.4    2.8    7.0    33.2   23.7    0.1    3.2    57.5
2007    7.4    8.1    8.0    2.4    1.4    0.2    0.0    0.1    0.9    1.1    4.2   12.2    22.5   11.9    0.2    6.2    46.0
2008   11.4   10.0   11.2    7.5    0.9    0.3    0.0    0.0    0.2    4.0    7.8   15.2    33.5   19.5    0.3   11.9    68.3
2009   14.9   12.7    7.5    3.0    1.0    0.4    0.0    0.0    0.1    1.1    4.1   20.5    42.8   11.5    0.5    5.3    65.3
2010   19.8   20.7   12.4    5.9    3.9    0.1    0.0    0.1    0.6    2.6   13.2   23.9    61.0   22.2    0.1   16.3   103.1
2011   16.4    7.8   10.0    1.1    1.2    0.2    0.0    0.0    0.1    0.5    1.9   11.9    48.1   12.4    0.2    2.4    51.2
2012   10.4    9.1    4.2    8.8    4.1    0.6    0.0    0.2    0.6    5.5    7.4   13.6    31.4   17.1    0.8   13.5    64.4
2013   12.7   17.0   20.2   10.4    2.1    0.1    0.0    0.0    0.3    0.8    9.4    5.7    43.3   32.7    0.1   10.5    78.8
2014    8.1    5.9    5.6    2.4    1.0    0.0    0.0    0.1    0.0    0.9    2.9   11.5    19.7    9.0    0.2    3.8    38.5
2015   14.1   12.2    9.2    6.0    2.4    0.3    0.0    0.0    0.1    1.5    3.8    5.6    37.8   17.7    0.3    5.4    55.3
2016   12.6   15.4    9.8    8.7    0.9    0.1    0.0    0.2    0.1    1.8   11.1    5.4    33.6   19.4    0.3   13.0    66.1
2017   13.1    9.8    7.9                                                                   28.4
